,document_id,id,owner,asset,transactiontype,date,notif_date,amount,capgains,assettype,ticker
94,20025104,,,"wells fargo & company depositary shares, each representing a 1/1,000th interest in a share of non-cumulative perpetual class a preferred stock, series dd (wfc$d) [st]",s,04/24/2024,,"$1,001 - $15,000",,st,wfc$d
95,20000788,,,"colgate-palmolive company common stock (cl) [st] f_____ s_____: new s_________ o_: raymond james ira d__________: tax deferred roll-over of ira into tsp. stock held in my i requirement at raymond james of $10,000, i was forced to sell the stockra at raymond j tsp rollover process, never touching or having access to the funds.s and then i rolle",s,08/25/2023,,"$1,001 - $15,000 ames. due to balanc d the balance into m",,st,cl
96,20000788,,,"jd.com, inc. - american depositary shares (jd) [st]",s,08/25/2023,,"$1,001 - $15,000",,st,jd
97,20024997,,,coca-cola company (ko) [st] f_____ s_____: new d__________: reinvest shares,p,04/01/2024,,"$1,001 - $15,000",,st,ko
98,20024230,,jt,cross timbers royalty trust (crt) [st] f_____ s_____: new,p,12/08/2023,,"$1,001 - $15,000",,st,crt
99,20024230,,jt,"duke energy corporation depositary shares, each representing a 1/1,000th interest in a share of 5.75% series a cumulative redeemable perpetual preferred stock (duk$a) [st]",p,12/19/2023,,"$1,001 - $15,000",,st,duk$a
100,20024230,,jt,ellington financial inc. 7.00% series d cumulative perpetual redeemable preferred stock (efc$d) [st] f_____ s_____: new d__________: arlington asset manageme following merger.nt 7% preferred stock exchanged for ellington fi,e,12/14/2023,,"$15,001 - $50,000 nancial 7% preferred",,st,efc$d
101,20024230,,jt,flex lng ltd. ordinary shares (flng) [st],p,12/04/2023,,"$1,001 - $15,000",,st,flng
102,20024424,,jt,"altria group, inc. (mo) [st] f_____ s_____: new",p,01/11/2024,,"$1,001 - $15,000",,st,mo
103,20024424,,jt,"altria group, inc. (mo) [st]",s,01/10/2024,,"$15,001 - $50,000",,st,mo
104,20024424,,jt,"altria group, inc. (mo) [st] f_____ s_____: new",s,01/16/2024,,"$1,001 - $15,000",,st,mo
105,20024424,,jt,cross timbers royalty trust (crt) [st],s,01/17/2024,,"$15,001 - $50,000",,st,crt
106,20024424,,jt,"duke energy corporation depositary shares, each representing a 1/1,000th interest in a share of 5.75% series a cumulative redeemable perpetual preferred stock (duk$a) [st] f_____ s_____: new",p,01/16/2024,,"$1,001 - $15,000",,st,duk$a
107,20024424,,jt,energy transfer lp common units (et) [st],p,01/16/2024,,"$15,001 - $50,000",,st,et
108,20024424,,jt,energy transfer lp common units (et) [st] f_____ s_____: new,p,01/17/2024,,"$1,001 - $15,000",,st,et
109,20024424,,jt,energy transfer lp common units (et) [st],p,01/18/2024,,"$1,001 - $15,000",,st,et
110,20024424,,jt,"hercules capital, inc. (htgc) [st] f_____ s_____: new",p,01/16/2024,,"$15,001 - $50,000",,st,htgc
111,20024424,,jt,schwab u.s. large-cap etf (schx) [st],p,01/08/2024,,"$1,001 - $15,000",,st,schx
112,20024424,,jt,schwab u.s. large-cap etf (schx) [st] f_____ s_____: new,p,01/17/2024,,"$1,001 - $15,000",,st,schx
113,20024596,,jt,"alliance resource partners, l.p. - common units representing limited partnership interests (arlp) [st] f_____ s_____: new",p,02/23/2024,,"$1,001 - $15,000",,st,arlp
