,document_id,last,first,state_dst,year,filing_date
0,20011679,Amash,Justin,MI03,2019,2019-05-14
1,20012722,Beyer,Donald Sternoff,VA08,2019,2019-12-07
2,20011070,Amash,Justin,MI03,2019,2019-01-29
3,20010974,Blum,Rodney Leland,IA01,2019,2019-01-08
4,20011134,Blumenauer,Earl,OR03,2019,2019-02-11
5,20011017,Blumenauer,Earl,OR03,2019,2019-01-16
6,20011241,Blumenauer,Earl,OR03,2019,2019-03-04
7,20011312,Blumenauer,Earl,OR03,2019,2019-03-18
8,20011632,Blumenauer,Earl,OR03,2019,2019-05-08
9,20011929,Blumenauer,Earl,OR03,2019,2019-07-03
10,20011455,Blumenauer,Earl,OR03,2019,2019-04-11
11,20011790,Blumenauer,Earl,OR03,2019,2019-06-04
12,20012114,Blumenauer,Earl,OR03,2019,2019-08-06
13,20011791,Blumenauer,Earl,OR03,2019,2019-06-04
14,20012474,Blumenauer,Earl,OR03,2019,2019-10-16
15,20012263,Blumenauer,Earl,OR03,2019,2019-09-04
16,20012670,Blumenauer,Earl,OR03,2019,2019-11-25
17,20012604,Blumenauer,Earl,OR03,2019,2019-11-13
18,20011543,Blunt Rochester,Lisa,DE00,2019,2019-04-26
19,20011243,Brooks,Mo,AL05,2019,2019-03-04
20,20012709,Blumenauer,Earl,OR03,2019,2019-12-06
21,20011659,Brooks,Mo,AL05,2019,2019-05-11
22,20011708,Brooks,Mo,AL05,2019,2019-05-20
23,20011369,Brooks,Mo,AL05,2019,2019-04-01
24,20012346,Brooks,Mo,AL05,2019,2019-09-20
25,20012115,Brooks,Mo,AL05,2019,2019-08-06
26,20012524,Brooks,Mo,AL05,2019,2019-10-30
27,20011115,Blunt Rochester,Lisa,DE00,2019,2019-02-19
28,20012473,Brooks,Susan W.,IN05,2019,2019-10-21
29,20011878,Brooks,Susan W.,IN05,2019,2019-06-25
30,20011201,Buchanan,Vern,FL16,2019,2019-02-26
31,20011446,Buchanan,Vern,FL16,2019,2019-04-11
32,20011352,Buchanan,Vern,FL16,2019,2019-03-28
33,20011739,Buchanan,Vern,FL16,2019,2019-05-23
34,20012125,Buchanan,Vern,FL16,2019,2019-08-08
35,20013825,Buchanan,Vern,FL16,2019,2019-12-29
36,20012441,Buchanan,Vern,FL16,2019,2019-10-07
37,20012723,Beyer,Donald Sternoff,VA08,2019,2019-12-14
