,document_id,id,owner,asset,transactiontype,date,notif_date,amount,capgains,assettype,ticker
0,,,,,,,,,,,
1,20022202,,sp,jefferies financial group inc. (jef) [st] f_____ s_____: new s_________ o_: john axne ira,s,12/23/2022,,"$1,001 - $15,000",,st,jef
2,20022202,,sp,jefferies financial group inc. (jef) [st],s,12/23/2022,,"$1,001 - $15,000",,st,jef
3,20022202,,,jefferies financial group inc. (jef) [st] f_____ s_____: new s_________ o_: cindy axne ira,s,12/23/2022,,"$1,001 - $15,000",,st,jef
4,20023168,,,"peloton interactive, inc. (pton) [st] f_____ s_____: new s_________ o_: schwab ira",p,06/09/2023,,"$1,001 - $15,000",,st,pton
5,20024001,,sp,"activision blizzard, inc (atvi) [st] f_____ s_____: new s_________ o_: inira d__________: cash merger no longer publicly traded company",s,10/13/2023,,"$1,001 - $15,000",,st,atvi
6,20024001,,,"activision blizzard, inc (atvi) [st]",s,10/13/2023,,"$15,001 - $50,000",,st,atvi
7,20024001,,sp,"the charles schwab corporation depositary shares each representing 1/40th interest in a share of 5.95% non-cumulative perpetual preferred stock, series d (schw$d) [st] f_____ s_____: new s_________ o_: r.w. allen & associates, inc.",p,10/10/2023,,"$15,001 - $50,000",,st,schw$d
8,20022986,,,"activision blizzard, inc (atvi) [st] f_____ s_____: new s_________ o_: charles schwab ira",p,04/20/2023,,"$1,001 - $15,000",,st,atvi
9,20022986,,sp,southstate corporation (ssb) [st],s,03/27/2023,,"$100,001 - $250,000",,st,ssb
10,20022986,,sp,"the charles schwab corporation depositary shares each representing 1/40th interest in a share of 5.95% non-cumulative perpetual preferred stock, series d (schw$d) [st] f_____ s_____: new s_________ o_: r.w. allen & associates, inc.",p,05/18/2023,,"$15,001 - $50,000",,st,schw$d
11,20023622,,sp,"the charles schwab corporation depositary shares each representing 1/40th interest in a share of 5.95% non-cumulative perpetual preferred stock, series d (schw$d) [st] f_____ s_____: new s_________ o_: r.w. allen & associates, inc. > rwa&a- securities",p,08/31/2023,,"$15,001 - $50,000",,st,schw$d
12,20005641,,,bhp group limited american depositary shares (bhp) [st] f_____ s_____: new s_________ o_: ubs sep ira,p,03/29/2022,,"$1,001 - $15,000",,st,bhp
13,20005641,,jt,bhp group limited american depositary shares (bhp) [st],p,06/27/2022,,"$15,001 - $50,000",,st,bhp
14,20005641,,,ftai infrastructure inc. (fip) [st] f_____ s_____: new s_________ o_: ubs sep ira d__________: spin-off from ftai,p,08/02/2022,,"$1,001 - $15,000",,st,fip
15,20005641,,,"woodside energy group limited american depositary shares, each representing one ordinary share (wds) [st]",p,06/02/2022,,"$1,001 - $15,000",,st,wds
16,20022546,,sp,northwest natural holding company (nwn) [st] f_____ s_____: new d__________: dividend reinvestment. part of my spouse'sretirement portfolio.,p,02/15/2023,,"$1,001 - $15,000",,st,nwn
17,20023218,,sp,centene corporation (cnc) [st] f_____ s_____: new d__________: part of my spouse's retirement portfolio.,s,06/15/2023,,"$1,001 - $15,000",,st,cnc
18,20023218,,sp,dutch bros inc. class a (bros) [st],s,06/30/2023,,"$1,001 - $15,000",,st,bros
19,20023218,,sp,molina healthcare inc (moh) [st] f_____ s_____: new d__________: part of my spouse's retirement portfolio.,p,06/15/2023,,"$15,001 - $50,000",,st,moh
20,20023435,,sp,intercontinental exchange inc. (ice) [st],s,07/27/2023,,"$1,001 - $15,000",,st,ice
21,20022667,,sp,bank of america corporation (bac) [st] f_____ s_____: new d__________: part of my spouse's retirement portfolio.,s,03/09/2023,,"$1,001 - $15,000",,st,bac
