,document_id,last,first,state_dst,year,filing_date
0,8218417,Bilirakis,Gus M.,FL12,2021,2021-10-29
1,8218196,Chabot,Steve,OH01,2021,2021-07-28
2,8218581,Chabot,Steve,OH01,2021,2022-02-28
3,8217884,Fleischmann,"Charles J. ""Chuck""",TN03,2021,2021-03-03
4,8218027,Fleischmann,"Charles J. ""Chuck""",TN03,2021,2021-05-12
5,8218297,Fleischmann,"Charles J. ""Chuck""",TN03,2021,2021-08-17
6,8218380,Fleischmann,"Charles J. ""Chuck""",TN03,2021,2021-10-07
7,8218379,Fleischmann,"Charles J. ""Chuck""",TN03,2021,2021-10-01
8,8218397,Fleischmann,"Charles J. ""Chuck""",TN03,2021,2021-10-13
9,8218436,Fleischmann,"Charles J. ""Chuck""",TN03,2021,2021-11-12
10,8218505,Fleischmann,"Charles J. ""Chuck""",TN03,2021,2021-12-16
11,8218040,Franklin,Scott,FL15,2021,2021-05-20
12,8218078,Franklin,Scott,FL15,2021,2021-06-08
13,8218405,Franklin,Scott,FL15,2021,2021-10-20
14,8218110,Franklin,Scott,FL15,2021,2021-06-15
15,8218111,Franklin,Scott,FL15,2021,2021-06-15
16,8218410,Harshbarger,Diana,TN01,2021,2021-10-25
17,8218358,Harshbarger,Diana,TN01,2021,2021-09-22
18,8218296,Harshbarger,Diana,TN01,2021,2021-08-16
19,8218321,Harshbarger,Diana,TN01,2021,2021-08-27
20,8218512,Harshbarger,Diana,TN01,2021,2021-12-30
21,8218478,Harshbarger,Diana,TN01,2021,2021-12-01
22,8217840,Hollingsworth,Trey,IN09,2021,2021-02-04
23,8217902,Hollingsworth,Trey,IN09,2021,2021-03-17
24,8218030,Hollingsworth,Trey,IN09,2021,2021-05-12
25,8217934,Hollingsworth,Trey,IN09,2021,2021-04-14
26,8218381,Hollingsworth,Trey,IN09,2021,2021-10-08
27,8218182,Hollingsworth,Trey,IN09,2021,2021-07-27
28,8218112,Hollingsworth,Trey,IN09,2021,2021-06-15
29,8217905,Huizenga,Bill,MI02,2021,2021-03-19
30,8218433,Hollingsworth,Trey,IN09,2021,2021-11-10
