,document_id,last,first,state_dst,year,filing_date
0,8216873,Bilirakis,Gus M.,FL12,2019,2020-01-09
1,9115041,Beatty,Joyce,OH03,2019,2019-06-12
2,9114410,Beatty,Joyce,OH03,2019,2019-02-21
3,9115481,Bilirakis,Gus M.,FL12,2019,2019-10-17
4,9115214,Abraham,Ralph Lee,LA05,2019,2019-08-01
5,9114448,Blumenauer,Earl,OR03,2019,2019-03-07
6,9114564,Cole,Tom,OK04,2019,2019-04-29
7,8216871,Comer,James,KY01,2019,2020-01-10
8,9114799,Cole,Tom,OK04,2019,2019-05-22
9,20010922,Conaway,K. Michael,TX11,2019,2019-01-03
10,20012595,Conaway,K. Michael,TX11,2019,2019-11-12
11,9115136,Craig,Angela Dawn,MN02,2019,2019-07-12
12,9115439,Craig,Angela Dawn,MN02,2019,2019-09-26
13,9114472,Fleischmann,"Charles J. ""Chuck""",TN03,2019,2019-03-15
14,9115195,Fleischmann,"Charles J. ""Chuck""",TN03,2019,2019-07-26
15,9115277,Fleischmann,"Charles J. ""Chuck""",TN03,2019,2019-08-15
16,9114801,Fleischmann,"Charles J. ""Chuck""",TN03,2019,2019-05-21
17,8216748,Fleischmann,"Charles J. ""Chuck""",TN03,2019,2019-11-26
18,9115049,Fleischmann,"Charles J. ""Chuck""",TN03,2019,2019-06-14
19,8216874,Fleischmann,"Charles J. ""Chuck""",TN03,2019,2020-01-09
20,8216800,Fleischmann,"Charles J. ""Chuck""",TN03,2019,2019-12-10
21,9115489,Fleischmann,"Charles J. ""Chuck""",TN03,2019,2019-10-17
22,20011510,Fletcher,Elizabeth,TX07,2019,2019-04-23
23,9115167,Guest,Michael Patrick,MS03,2019,2019-07-17
24,8216636,Guest,Michael Patrick,MS03,2019,2019-11-06
25,9114374,Holding,George,NC02,2019,2019-02-11
26,8216838,Holding,George,NC02,2019,2019-12-19
27,8216909,Holding,George,NC02,2019,2020-01-15
28,9114798,Holding,George,NC02,2019,2019-05-01
29,9115521,Holding,George,NC02,2019,2019-10-30
30,9114435,Kelly,Mike,PA03,2019,2019-02-28
31,9114566,Kelly,Mike,PA16,2019,2019-04-30
32,9114471,Kelly,Mike,PA03,2019,2019-03-14
33,9114648,Kelly,Mike,PA16,2019,2019-05-10
34,8216803,Kelly,Mike,PA16,2019,2019-12-12
35,9115042,Kelly,Mike,PA16,2019,2019-06-12
36,8216910,Kelly,Mike,PA16,2019,2020-01-16
37,9114456,Kennedy,Joseph P.,MA04,2019,2019-03-12
38,9114360,Kennedy,Joseph P.,MA04,2019,2019-02-06
39,9114525,Kennedy,Joseph P.,MA04,2019,2019-04-09
40,9114373,Kennedy,Joseph P.,MA04,2019,2019-02-11
41,9115181,Kelly,Mike,PA16,2019,2019-07-23
42,9115038,Kennedy,Joseph P.,MA04,2019,2019-06-11
43,9115196,Kennedy,Joseph P.,MA04,2019,2019-07-25
44,9114396,Khanna,Rohit,CA17,2019,2019-02-15
45,9114457,Khanna,Rohit,CA17,2019,2019-03-08
46,9115039,Khanna,Rohit,CA17,2019,2019-06-11
47,9114526,Khanna,Rohit,CA17,2019,2019-04-11
48,9114649,Khanna,Rohit,CA17,2019,2019-05-10
49,9114536,Kustoff,David,TN08,2019,2019-04-15
50,9115484,Khanna,Rohit,CA17,2019,2019-10-16
51,9115234,Khanna,Rohit,CA17,2019,2019-08-06
52,8216662,Khanna,Rohit,CA17,2019,2019-11-12
53,9115123,Khanna,Rohit,CA17,2019,2019-07-11
54,8216805,Khanna,Rohit,CA17,2019,2019-12-11
55,9115384,Khanna,Rohit,CA17,2019,2019-09-11
56,9114304,Lamborn,Doug,CO05,2019,2019-01-15
57,9114539,Kustoff,David,TN08,2019,2019-04-17
58,9114413,Lamborn,Doug,CO05,2019,2019-02-15
59,9114469,Lamborn,Doug,CO05,2019,2019-03-15
60,9114505,Lamborn,Doug,CO05,2019,2019-04-03
61,8216875,Kustoff,David,TN08,2019,2020-01-07
62,8216804,Kustoff,David,TN08,2019,2019-12-10
63,9114645,Lamborn,Doug,CO05,2019,2019-05-10
64,8216681,Lamborn,Doug,CO05,2019,2019-11-14
65,9115278,Lamborn,Doug,CO05,2019,2019-08-14
66,9114372,Khanna,Rohit,CA17,2019,2019-02-12
67,9114359,Larson,John B.,CT01,2019,2019-02-06
68,9114443,Larson,John B.,CT01,2019,2019-03-08
69,9115182,Larson,John B.,CT01,2019,2019-07-22
70,9114549,Larson,John B.,CT01,2019,2019-04-23
71,9115324,Larson,John B.,CT01,2019,2019-08-21
72,9115407,Larson,John B.,CT01,2019,2019-09-20
73,8216717,Larson,John B.,CT01,2019,2019-11-19
74,8216749,Larson,John B.,CT01,2019,2019-11-22
75,9115441,Larson,John B.,CT01,2019,2019-09-27
76,9114292,Long,Billy,MO07,2019,2019-01-09
77,9115152,Long,Billy,MO07,2019,2019-07-17
78,9114358,Long,Billy,MO07,2019,2019-02-06
79,8219061,Malinowski,Tom,NJ07,2019,2022-07-01
80,9114535,Marchant,Kenny,TX24,2019,2019-04-12
81,9115168,Marchant,Kenny,TX24,2019,2019-07-19
82,9114458,Marchant,Kenny,TX24,2019,2019-03-12
83,9115391,Marchant,Kenny,TX24,2019,2019-09-13
84,8216718,Marchant,Kenny,TX24,2019,2019-11-19
85,8216921,Marchant,Kenny,TX24,2019,2020-01-22
86,9114492,McCaul,Michael T.,TX10,2019,2019-03-26
87,9114418,McCaul,Michael T.,TX10,2019,2019-02-25
88,9114567,McCaul,Michael T.,TX10,2019,2019-04-30
89,9114757,McCaul,Michael T.,TX10,2019,2019-05-15
90,9115315,McCaul,Michael T.,TX10,2019,2019-08-20
91,9115083,McCaul,Michael T.,TX10,2019,2019-06-27
92,8216661,McCaul,Michael T.,TX10,2019,2019-11-14
93,9115485,McCaul,Michael T.,TX10,2019,2019-10-15
94,9115183,McCaul,Michael T.,TX10,2019,2019-07-24
95,8216839,McCaul,Michael T.,TX10,2019,2019-12-20
96,8216935,McCaul,Michael T.,TX10,2019,2020-01-29
97,9114459,Roe,David P.,TN01,2019,2019-03-14
98,9114617,Roe,David P.,TN01,2019,2019-05-07
99,9114520,Roe,David P.,TN01,2019,2019-04-05
100,9115486,Roe,David P.,TN01,2019,2019-10-15
101,8216806,Roe,David P.,TN01,2019,2019-12-12
102,9114416,Roe,David P.,TN01,2019,2019-02-25
103,9115040,Roe,David P.,TN01,2019,2019-06-07
104,8216663,Roe,David P.,TN01,2019,2019-11-14
105,8216911,Roe,David P.,TN01,2019,2020-01-14
106,9115349,Roe,David P.,TN01,2019,2019-09-05
107,9115134,Roe,David P.,TN01,2019,2019-07-12
108,9114434,Rogers,Harold Dallas,KY05,2019,2019-02-26
109,9115198,Rogers,Harold Dallas,KY05,2019,2019-07-30
110,9114336,Rogers,Harold Dallas,KY05,2019,2019-01-29
111,9114501,Rogers,Harold Dallas,KY05,2019,2019-04-01
112,9114598,Rogers,Harold Dallas,KY05,2019,2019-05-03
113,9115266,Roe,David P.,TN01,2019,2019-08-12
114,9114999,Rogers,Harold Dallas,KY05,2019,2019-06-04
115,9115335,Rogers,Harold Dallas,KY05,2019,2019-09-04
116,9115442,Rogers,Harold Dallas,KY05,2019,2019-09-30
117,9115499,Rogers,Harold Dallas,KY05,2019,2019-10-22
118,8216783,Rogers,Harold Dallas,KY05,2019,2019-12-04
119,8216853,Rogers,Harold Dallas,KY05,2019,2020-01-06
120,9115093,Rogers,Harold Dallas,KY05,2019,2019-07-01
121,9114371,Rooney,Francis,FL19,2019,2019-02-12
122,9114460,Rooney,Francis,FL19,2019,2019-03-12
123,9114303,Rooney,Francis,FL19,2019,2019-01-15
124,9114754,Rooney,Francis,FL19,2019,2019-05-15
125,9115043,Rooney,Francis,FL19,2019,2019-06-12
126,9114500,Rooney,Francis,FL19,2019,2019-04-02
127,9115279,Rooney,Francis,FL19,2019,2019-08-13
128,9115135,Rooney,Francis,FL19,2019,2019-07-12
129,8216824,Rooney,Francis,FL19,2019,2019-12-17
130,9115487,Rooney,Francis,FL19,2019,2019-10-16
131,8216664,Rooney,Francis,FL19,2019,2019-11-14
132,9115388,Rooney,Francis,FL19,2019,2019-09-12
133,9114626,Schiff,Adam B.,CA28,2019,2019-05-09
134,9114355,Schrader,Kurt,OR05,2019,2019-02-05
135,9114499,Schrader,Kurt,OR05,2019,2019-04-01
136,9114440,Schrader,Kurt,OR05,2019,2019-03-05
137,9115060,Schrader,Kurt,OR05,2019,2019-06-20
138,9115392,Schrader,Kurt,OR05,2019,2019-09-13
139,9115240,Schrader,Kurt,OR05,2019,2019-08-07
140,9115500,Schrader,Kurt,OR05,2019,2019-10-23
141,8216912,Schrader,Kurt,OR05,2019,2020-01-14
142,8216784,Schrader,Kurt,OR05,2019,2019-12-05
143,9114563,Sensenbrenner,F. James,WI05,2019,2019-04-29
144,9114795,Sensenbrenner,F. James,WI05,2019,2019-05-21
145,9114919,Sires,Albio,NJ08,2019,2019-05-15
146,20012539,Taylor,Nicholas Van,TX03,2019,2019-11-06
147,20012685,Taylor,Nicholas Van,TX03,2019,2019-12-09
148,20011105,Taylor,Nicholas Van,TX03,2019,2019-02-15
149,9114498,Upton,Fred,MI06,2019,2019-04-04
150,9114325,Upton,Fred,MI06,2019,2019-01-25
151,9114800,Upton,Fred,MI06,2019,2019-05-22
152,9115061,Upton,Fred,MI06,2019,2019-06-19
153,9115076,Upton,Fred,MI06,2019,2019-06-25
154,8216828,Upton,Fred,MI06,2019,2019-12-19
155,8216631,Upton,Fred,MI06,2019,2019-11-05
156,9115393,Upton,Fred,MI06,2019,2019-09-13
157,9115199,Upton,Fred,MI06,2019,2019-07-26
158,9114647,Wagner,Ann,MO02,2019,2019-05-13
159,9114491,Wagner,Ann,MO02,2019,2019-03-22
160,9115052,Wagner,Ann,MO02,2019,2019-06-14
161,9115514,Wagner,Ann,MO02,2019,2019-10-28
162,9115290,Wagner,Ann,MO02,2019,2019-08-15
163,9115350,Wagner,Ann,MO02,2019,2019-09-05
164,20010971,Trott,David A.,MI11,2019,2019-01-08
165,9115156,Wagner,Ann,MO02,2019,2019-07-15
166,8216665,Wagner,Ann,MO02,2019,2019-11-12
167,8216876,Wagner,Ann,MO02,2019,2020-01-09
168,8216807,Wagner,Ann,MO02,2019,2019-12-09
169,9115501,Yoho,Ted S.,FL03,2019,2019-10-23
170,20011315,Taylor,Nicholas Van,TX03,2019,2019-04-15
