,document_id,last,first,state_dst,year,filing_date
0,8220317,Fleischmann,"Charles J. ""Chuck""",TN03,2024,2024-05-15
1,8220147,Fleischmann,"Charles J. ""Chuck""",TN03,2024,2024-02-09
2,8220177,Lamborn,Doug,CO05,2024,2024-03-13
3,8220173,Khanna,Rohit,CA17,2024,2024-03-06
4,8220451,Khanna,Rohit,CA17,2024,2024-06-05
5,8220205,Lamborn,Doug,CO05,2024,2024-04-12
6,8220192,Khanna,Rohit,CA17,2024,2024-04-05
7,8220127,Khanna,Rohit,CA17,2024,2024-02-05
8,8220252,Khanna,Rohit,CA17,2024,2024-05-06
9,8220431,Lamborn,Doug,CO05,2024,2024-06-03
10,8220312,Lamborn,Doug,CO05,2024,2024-05-15
11,8220119,Malliotakis,Nicole,NY11,2024,2024-01-30
12,8220188,McCaul,Michael T.,TX10,2024,2024-03-15
13,8220320,McCaul,Michael T.,TX10,2024,2024-05-11
14,8220162,McCaul,Michael T.,TX10,2024,2024-02-13
15,8220214,McCaul,Michael T.,TX10,2024,2024-04-16
16,8220118,Paulina Luna,Anna,FL13,2024,2024-01-29
17,8220155,Rogers,Harold Dallas,KY05,2024,2024-02-20
18,8220176,Rogers,Harold Dallas,KY05,2024,2024-03-13
19,8220203,Rogers,Harold Dallas,KY05,2024,2024-04-10
20,8220271,Rogers,Harold Dallas,KY05,2024,2024-05-09
