,document_id,last,first,state_dst,year,filing_date
0,20020708,Auchincloss,Jake,MA04,2022,2022-04-10
1,20021740,Aderholt,Robert B.,AL04,2022,2022-09-23
2,20020448,Allen,Richard W.,GA12,2022,2022-02-13
3,20021681,Allen,Richard W.,GA12,2022,2022-09-10
4,20020585,Allen,Richard W.,GA12,2022,2022-03-09
5,20021236,Axne,Cindy,IA03,2022,2022-07-02
6,20022132,Aderholt,Robert B.,AL04,2022,2022-12-13
7,20020474,Axne,Cindy,IA03,2022,2022-03-07
8,20020367,Axne,Cindy,IA03,2022,2022-02-08
9,20021134,Axne,Cindy,IA03,2022,2022-06-03
10,20022042,Axne,Cindy,IA03,2022,2022-12-07
11,20021951,Axne,Cindy,IA03,2022,2022-11-15
12,20020868,Beyer,Donald Sternoff,VA08,2022,2022-05-01
13,20021705,Axne,Cindy,IA03,2022,2022-09-16
14,20022097,Bentz,Cliff,OR02,2022,2022-12-07
15,20021555,Axne,Cindy,IA03,2022,2022-08-15
16,20020618,Beyer,Donald Sternoff,VA08,2022,2022-04-01
17,20020047,Beyer,Donald Sternoff,VA08,2022,2022-01-01
18,20021091,Beyer,Donald Sternoff,VA08,2022,2022-06-01
19,20021193,Beyer,Donald Sternoff,VA08,2022,2022-07-03
20,20021447,Beyer,Donald Sternoff,VA08,2022,2022-07-29
21,20020168,Blumenauer,Earl,OR03,2022,2022-01-06
22,20020399,Blumenauer,Earl,OR03,2022,2022-02-07
23,20022070,Bishop,Dan Daniel,NC09,2022,2022-12-01
24,20022048,Beyer,Donald Sternoff,VA08,2022,2022-12-01
25,20020251,Beyer,Donald Sternoff,VA08,2022,2022-02-01
26,20020354,Beyer,Donald Sternoff,VA08,2022,2022-03-03
27,20020670,Blumenauer,Earl,OR03,2022,2022-03-22
28,20020574,Blumenauer,Earl,OR03,2022,2022-03-07
29,20021169,Blumenauer,Earl,OR03,2022,2022-06-07
30,20020943,Blumenauer,Earl,OR03,2022,2022-05-05
31,20021152,Blumenauer,Earl,OR03,2022,2022-06-05
32,20020783,Blumenauer,Earl,OR03,2022,2022-04-13
33,20021504,Blumenauer,Earl,OR03,2022,2022-08-08
34,20021335,Blumenauer,Earl,OR03,2022,2022-07-06
35,20021970,Blumenauer,Earl,OR03,2022,2022-11-10
36,20022078,Blumenauer,Earl,OR03,2022,2022-12-04
37,20020661,Brooks,Mo,AL05,2022,2022-03-21
38,20021651,Blumenauer,Earl,OR03,2022,2022-09-05
39,20021808,Blumenauer,Earl,OR03,2022,2022-10-05
40,20020873,Brooks,Mo,AL05,2022,2022-04-26
41,20021197,Brooks,Mo,AL05,2022,2022-06-12
42,20020998,Brooks,Mo,AL05,2022,2022-05-11
43,20020675,Blumenauer,Earl,OR03,2022,2022-04-01
44,20021403,Brooks,Mo,AL05,2022,2022-07-19
45,20021568,Brooks,Mo,AL05,2022,2022-08-17
46,20020315,Burgess,Michael C.,TX26,2022,2022-02-10
47,20020632,Burgess,Michael C.,TX26,2022,2022-03-23
48,20022197,Brooks,Mo,AL05,2022,2022-12-31
49,20020238,Buchanan,Vern,FL16,2022,2022-01-17
50,20020305,Burgess,Michael C.,TX26,2022,2022-01-27
51,20020545,Burgess,Michael C.,TX26,2022,2022-03-03
52,20020684,Buchanan,Vern,FL16,2022,2022-03-24
53,20020798,Burgess,Michael C.,TX26,2022,2022-04-15
54,20020895,Burgess,Michael C.,TX26,2022,2022-04-29
55,20021120,Burgess,Michael C.,TX26,2022,2022-06-03
56,20021279,Burgess,Michael C.,TX26,2022,2022-06-27
57,20021890,Burgess,Michael C.,TX26,2022,2022-11-02
58,20021443,Burgess,Michael C.,TX26,2022,2022-08-05
59,20021277,Burgess,Michael C.,TX26,2022,2022-06-27
60,20021932,Burgess,Michael C.,TX26,2022,2022-11-15
61,20020422,Carter,Earl Leroy,GA01,2022,2022-02-09
62,20022087,Burgess,Michael C.,TX26,2022,2022-12-08
63,20021716,Burgess,Michael C.,TX26,2022,2022-09-20
64,20022051,Burgess,Michael C.,TX26,2022,2022-11-29
65,20020894,Cawthorn,David Madison,NC11,2022,2022-05-27
66,20022136,Cawthorn,David Madison,NC11,2022,2022-12-14
67,20020731,Clark,Katherine M.,MA05,2022,2022-04-12
68,20021170,Cawthorn,David Madison,NC11,2022,2022-06-08
69,20020330,Chu,Judy,CA27,2022,2022-01-29
70,20021112,Cawthorn,David Madison,NC11,2022,2022-06-08
71,20021793,Clark,Katherine M.,MA05,2022,2022-10-05
72,20020917,Clark,Katherine M.,MA05,2022,2022-05-02
73,20021441,Clark,Katherine M.,MA05,2022,2022-08-16
74,20020462,Cohen,Steve,TN09,2022,2022-02-15
75,20021467,Cohen,Steve,TN09,2022,2022-08-02
76,20021491,Cohen,Steve,TN09,2022,2022-08-05
77,20021517,Cohen,Steve,TN09,2022,2022-08-10
78,20021502,Cohen,Steve,TN09,2022,2022-08-08
79,20021560,Cohen,Steve,TN09,2022,2022-08-15
80,20021583,Cohen,Steve,TN09,2022,2022-08-23
81,20021694,Cohen,Steve,TN09,2022,2022-09-12
82,20021606,Cohen,Steve,TN09,2022,2022-08-29
83,20021626,Connolly,Gerald E.,VA11,2022,2022-09-01
84,20020780,Courtney,Joe,CT02,2022,2022-04-12
85,20020189,Crenshaw,Daniel,TX02,2022,2022-01-10
86,20020197,Crenshaw,Daniel,TX02,2022,2022-01-10
87,20020133,Curtis,John,UT03,2022,2022-02-02
88,20021486,Curtis,John,UT03,2022,2022-08-15
89,20021255,Crenshaw,Daniel,TX02,2022,2022-12-01
90,20020310,Crenshaw,Daniel,TX02,2022,2022-02-02
91,20020679,Curtis,John,UT03,2022,2022-03-23
92,20021342,Curtis,John,UT03,2022,2022-07-08
93,20021733,Curtis,John,UT03,2022,2022-09-20
94,20021554,Curtis,John,UT03,2022,2022-08-15
95,20021965,Curtis,John,UT03,2022,2022-11-09
96,20020134,DelBene,Suzan K.,WA01,2022,2022-01-09
97,20020478,DelBene,Suzan K.,WA01,2022,2022-02-25
98,20020358,DelBene,Suzan K.,WA01,2022,2022-02-09
99,20020572,DelBene,Suzan K.,WA01,2022,2022-03-09
100,20020243,DelBene,Suzan K.,WA01,2022,2022-01-20
101,20020642,DelBene,Suzan K.,WA01,2022,2022-03-22
102,20020815,DelBene,Suzan K.,WA01,2022,2022-04-20
103,20020725,DelBene,Suzan K.,WA01,2022,2022-04-07
104,20020937,DelBene,Suzan K.,WA01,2022,2022-05-08
105,20021329,DelBene,Suzan K.,WA01,2022,2022-07-08
106,20021227,DelBene,Suzan K.,WA01,2022,2022-06-23
107,20021082,DelBene,Suzan K.,WA01,2022,2022-05-23
108,20021144,DelBene,Suzan K.,WA01,2022,2022-06-11
109,20021406,DelBene,Suzan K.,WA01,2022,2022-07-25
110,20021465,DelBene,Suzan K.,WA01,2022,2022-08-08
111,20021660,DelBene,Suzan K.,WA01,2022,2022-09-12
112,20021931,DelBene,Suzan K.,WA01,2022,2022-11-14
113,20021795,DelBene,Suzan K.,WA01,2022,2022-10-10
114,20021864,DelBene,Suzan K.,WA01,2022,2022-10-28
115,20021579,DelBene,Suzan K.,WA01,2022,2022-08-26
116,20022099,DelBene,Suzan K.,WA01,2022,2022-12-13
117,20021083,Dingell,Debbie,MI12,2022,2022-05-19
118,20020866,Dingell,Debbie,MI12,2022,2022-04-26
119,20021166,Dingell,Debbie,MI12,2022,2022-06-12
120,20022031,DelBene,Suzan K.,WA01,2022,2022-11-28
121,20021536,Dingell,Debbie,MI12,2022,2022-08-15
122,20020576,Doggett,Lloyd,TX35,2022,2022-03-07
123,20020959,Doggett,Lloyd,TX35,2022,2022-05-09
124,20021654,Doggett,Lloyd,TX35,2022,2022-09-06
125,20021362,Doggett,Lloyd,TX35,2022,2022-07-11
126,20020191,Doggett,Lloyd,TX35,2022,2022-01-10
127,20022088,Doggett,Lloyd,TX35,2022,2022-12-06
128,20020754,Doggett,Lloyd,TX35,2022,2022-04-08
129,20021487,Doggett,Lloyd,TX35,2022,2022-08-05
130,20021924,Doggett,Lloyd,TX35,2022,2022-11-01
131,20021153,Doggett,Lloyd,TX35,2022,2022-06-06
132,20020587,Estes,Ron,KS04,2022,2022-03-09
133,20020143,Fallon,Patrick,TX04,2022,2022-01-28
134,20020865,Evans,Dwight,PA03,2022,2022-04-25
135,20021779,Estes,Ron,KS04,2022,2022-09-30
136,20021576,Evans,Dwight,PA03,2022,2022-08-19
137,20021600,Dunn,"Neal Patrick MD, Facs",FL02,2022,2022-09-09
138,20021397,Estes,Ron,KS04,2022,2022-07-18
139,20021461,Estes,Ron,KS04,2022,2022-08-01
140,20021149,Estes,Ron,KS04,2022,2022-06-03
141,20022027,Evans,Dwight,PA03,2022,2022-11-21
142,20021950,Fallon,Patrick,TX04,2022,2022-12-01
143,20020374,Fallon,Patrick,TX04,2022,2022-02-08
144,20020153,Foxx,Virginia,NC05,2022,2022-01-05
145,20020543,Foxx,Virginia,NC05,2022,2022-03-07
146,20021127,Foxx,Virginia,NC05,2022,2022-06-04
147,20020355,Foxx,Virginia,NC05,2022,2022-02-04
148,20020718,Foxx,Virginia,NC05,2022,2022-04-05
149,20021466,Foxx,Virginia,NC05,2022,2022-08-05
150,20020914,Foxx,Virginia,NC05,2022,2022-05-04
151,20021315,Foxx,Virginia,NC05,2022,2022-07-05
152,20021919,Foxx,Virginia,NC05,2022,2022-11-03
153,20021790,Foxx,Virginia,NC05,2022,2022-10-12
154,20022068,Foxx,Virginia,NC05,2022,2022-12-06
155,20020235,Frankel,Lois,FL21,2022,2022-01-16
156,20020919,Frankel,Lois,FL21,2022,2022-05-03
157,20021630,Foxx,Virginia,NC05,2022,2022-09-08
158,20020648,Frankel,Lois,FL21,2022,2022-04-06
159,20020401,Frankel,Lois,FL21,2022,2022-02-16
160,20020470,Frankel,Lois,FL21,2022,2022-02-27
161,20021425,Frankel,Lois,FL21,2022,2022-07-22
162,20020929,Frankel,Lois,FL21,2022,2022-06-09
163,20021233,Frankel,Lois,FL21,2022,2022-06-16
164,20020544,Franklin,Scott,FL15,2022,2022-03-03
165,20021732,Frankel,Lois,FL21,2022,2022-09-20
166,20021881,Frankel,Lois,FL21,2022,2022-10-24
167,20021618,Frankel,Lois,FL21,2022,2022-08-31
168,20022017,Frankel,Lois,FL21,2022,2022-11-18
169,20020278,Garamendi,John,CA03,2022,2022-01-21
170,20020121,Garcia,Michael,CA25,2022,2022-02-23
171,20020231,Garbarino,Andrew,NY02,2022,2022-01-14
172,20021522,Garcia,Michael,CA25,2022,2022-08-23
173,20021587,Garcia,Michael,CA25,2022,2022-08-23
174,20020386,Gibbs,Bob,OH07,2022,2022-02-06
175,20020166,Gibbs,Bob,OH07,2022,2022-01-06
176,20020983,Fallon,Patrick,TX04,2022,2022-05-14
177,20021895,Garcia,Michael,CA25,2022,2022-10-25
178,20021836,Franklin,Scott,FL15,2022,2022-10-11
179,20021275,Gibbs,Bob,OH07,2022,2022-06-27
180,20021044,Gibbs,Bob,OH07,2022,2022-05-16
181,20021492,Gibbs,Bob,OH07,2022,2022-08-05
182,20022166,Gibbs,Bob,OH07,2022,2022-12-22
183,20021290,Gonzalez,Anthony E.,OH16,2022,2022-07-23
184,20021661,Gibbs,Bob,OH07,2022,2022-09-06
185,20021911,Gibbs,Bob,OH07,2022,2022-10-31
186,20021518,Gottheimer,Josh,NJ05,2022,2022-08-13
187,20020154,Gottheimer,Josh,NJ05,2022,2022-01-10
188,20021174,Gottheimer,Josh,NJ05,2022,2022-06-16
189,20020573,Gottheimer,Josh,NJ05,2022,2022-03-18
190,20020393,Gottheimer,Josh,NJ05,2022,2022-02-18
191,20021351,Gottheimer,Josh,NJ05,2022,2022-07-22
192,20021727,Gottheimer,Josh,NJ05,2022,2022-09-19
193,20021563,Gottheimer,Josh,NJ05,2022,2022-08-29
194,20021676,Gottheimer,Josh,NJ05,2022,2022-09-16
195,20020956,Gottheimer,Josh,NJ05,2022,2022-05-16
196,20021868,Graves,Garret,LA06,2022,2022-10-18
197,20020786,Gottheimer,Josh,NJ05,2022,2022-04-17
198,20021821,Gottheimer,Josh,NJ05,2022,2022-10-16
199,20020362,Green,Mark Dr,TN07,2022,2022-02-08
200,20022098,Gottheimer,Josh,NJ05,2022,2022-12-17
201,20019881,Green,Mark Dr,TN07,2022,2022-01-03
202,20020442,Green,Mark Dr,TN07,2022,2022-02-14
203,20020188,Green,Mark Dr,TN07,2022,2022-01-18
204,20020501,Green,Mark Dr,TN07,2022,2022-03-03
205,20021933,Gottheimer,Josh,NJ05,2022,2022-11-10
206,20021121,Green,Mark Dr,TN07,2022,2022-05-31
207,20020830,Green,Mark Dr,TN07,2022,2022-04-20
208,20020569,Green,Mark Dr,TN07,2022,2022-03-08
209,20020773,Green,Mark Dr,TN07,2022,2022-04-13
210,20021154,Green,Mark Dr,TN07,2022,2022-08-01
211,20021571,Green,Mark Dr,TN07,2022,2022-08-18
212,20021614,Green,Mark Dr,TN07,2022,2022-09-01
213,20021778,Green,Mark Dr,TN07,2022,2022-10-03
214,20021887,Green,Mark Dr,TN07,2022,2022-10-24
215,20020568,Greene,Marjorie Taylor,GA14,2022,2022-03-07
216,20020263,Greene,Marjorie Taylor,GA14,2022,2022-01-20
217,20020644,Guest,Michael Patrick,MS03,2022,2022-03-18
218,20020792,Guest,Michael Patrick,MS03,2022,2022-05-02
219,20021007,Guest,Michael Patrick,MS03,2022,2022-05-22
220,20021248,Greene,Marjorie Taylor,GA14,2022,2022-06-20
221,20021434,Guest,Michael Patrick,MS03,2022,2022-07-26
222,20021172,Guest,Michael Patrick,MS03,2022,2022-06-22
223,20021691,Guest,Michael Patrick,MS03,2022,2022-09-14
224,20020359,Hern,Kevin,OK01,2022,2022-02-02
225,20020571,Hern,Kevin,OK01,2022,2022-03-07
226,20020202,Hern,Kevin,OK01,2022,2022-01-11
227,20020995,Hern,Kevin,OK01,2022,2022-05-12
228,20021223,Hern,Kevin,OK01,2022,2022-06-14
229,20020789,Hern,Kevin,OK01,2022,2022-04-12
230,20021964,Hern,Kevin,OK01,2022,2022-11-09
231,20021553,Hern,Kevin,OK01,2022,2022-08-15
232,20021704,Hern,Kevin,OK01,2022,2022-09-15
233,20022102,Hern,Kevin,OK01,2022,2022-12-08
234,20021828,Hern,Kevin,OK01,2022,2022-10-10
235,20021388,Hern,Kevin,OK01,2022,2022-07-15
236,20020479,Jacobs,Christopher L.,NY27,2022,2022-02-18
237,20021201,Jacobs,Christopher L.,NY27,2022,2022-06-23
238,20020654,Jacobs,Christopher L.,NY27,2022,2022-03-18
239,20021696,Jacobs,Christopher L.,NY27,2022,2022-09-26
240,20021179,Jacobs,Sara,CA53,2022,2022-06-21
241,20020793,Jacobs,Christopher L.,NY27,2022,2022-05-19
242,20021857,Jacobs,Christopher L.,NY27,2022,2022-10-18
243,20021989,Jacobs,Christopher L.,NY27,2022,2022-11-16
244,20021184,Joyce,David P.,OH14,2022,2022-06-09
245,20021183,Joyce,David P.,OH14,2022,2022-06-09
246,20021667,Jacobs,Christopher L.,NY27,2022,2022-09-09
247,20021222,Keating,William R.,MA09,2022,2022-06-17
248,20020915,Keating,William R.,MA09,2022,2022-05-05
249,20022108,Jacobs,Christopher L.,NY27,2022,2022-12-12
250,20020504,Keating,William R.,MA09,2022,2022-02-28
251,20021398,Jacobs,Christopher L.,NY27,2022,2022-07-28
252,20021937,Keating,William R.,MA09,2022,2022-11-04
253,20021629,Keating,William R.,MA09,2022,2022-10-30
254,20022024,Keating,William R.,MA09,2022,2022-11-21
255,20022156,Keating,William R.,MA09,2022,2022-12-21
256,20020875,Kustoff,David,TN08,2022,2022-05-02
257,20020152,Langevin,James R.,RI02,2022,2022-01-05
258,20020391,Langevin,James R.,RI02,2022,2022-02-08
259,20020774,Langevin,James R.,RI02,2022,2022-04-12
260,20021477,Langevin,James R.,RI02,2022,2022-08-03
261,20021669,Langevin,James R.,RI02,2022,2022-09-08
262,20020955,Langevin,James R.,RI02,2022,2022-05-09
263,20021156,Langevin,James R.,RI02,2022,2022-06-07
264,20021338,Langevin,James R.,RI02,2022,2022-07-11
265,20020559,Langevin,James R.,RI02,2022,2022-03-04
266,20021968,Latta,Robert E.,OH05,2022,2022-11-10
267,20021812,Langevin,James R.,RI02,2022,2022-10-06
268,20020369,Lee,Susie,NV03,2022,2022-02-03
269,20021929,Langevin,James R.,RI02,2022,2022-11-08
270,20020473,Lee,Susie,NV03,2022,2022-03-04
271,20022086,Langevin,James R.,RI02,2022,2022-12-07
272,20021415,Latta,Robert E.,OH05,2022,2022-07-21
273,20021052,Lee,Susie,NV03,2022,2022-05-18
274,20021252,Lee,Susie,NV03,2022,2022-06-21
275,20021962,Lee,Susie,NV03,2022,2022-11-14
276,20020989,Lofgren,Zoe,CA19,2022,2022-05-10
277,20020179,Lofgren,Zoe,CA19,2022,2022-01-07
278,20011775,Leger Fernandez,Teresa,NM03,2022,2022-12-07
279,20021550,Lee,Susie,NV03,2022,2022-08-13
280,20021367,Lofgren,Zoe,CA19,2022,2022-07-13
281,20021503,Lofgren,Zoe,CA19,2022,2022-08-08
282,20020775,Lofgren,Zoe,CA19,2022,2022-04-11
283,20021699,Lofgren,Zoe,CA19,2022,2022-09-13
284,20020270,Lowenthal,Alan S.,CA47,2022,2022-01-21
285,20020167,Lowenthal,Alan S.,CA47,2022,2022-01-06
286,20021838,Lofgren,Zoe,CA19,2022,2022-10-11
287,20021967,Lofgren,Zoe,CA19,2022,2022-11-10
288,20020274,Lowenthal,Alan S.,CA47,2022,2022-01-21
289,20021816,Lofgren,Zoe,CA19,2022,2022-10-06
290,20020271,Lowenthal,Alan S.,CA47,2022,2022-01-21
291,20020307,Lowenthal,Alan S.,CA47,2022,2022-01-25
292,20020323,Lowenthal,Alan S.,CA47,2022,2022-01-27
293,20020321,Lowenthal,Alan S.,CA47,2022,2022-01-27
294,20020331,Lowenthal,Alan S.,CA47,2022,2022-01-29
295,20020322,Lowenthal,Alan S.,CA47,2022,2022-01-27
296,20020333,Lowenthal,Alan S.,CA47,2022,2022-01-30
297,20020334,Lowenthal,Alan S.,CA47,2022,2022-01-30
298,20020486,Lowenthal,Alan S.,CA47,2022,2022-02-18
299,20020427,Lowenthal,Alan S.,CA47,2022,2022-02-10
300,20020562,Lowenthal,Alan S.,CA47,2022,2022-03-04
